,pokedex_number,attack,defense,hp,sp_attack,sp_defense,speed,base_total,capture_rate,classfication,experience_growth,height_m,type1,type2,weight_kg,generation,name,PC1,PC2,Cluster,Cluster Name
0,1,49,49,45,65,65,45,318,45,440,1059860,0.7,9,13,6.9,1,Bulbasaur,-1.578643471300495,-0.757171687287886,1,Baby
1,2,62,63,60,80,80,60,405,45,440,1059860,1.0,9,13,13.0,1,Ivysaur,-0.32014247161488957,-0.7030088908403322,2,Fully Evolved
2,3,100,123,80,122,120,80,625,45,440,1059860,2.0,9,13,100.0,1,Venusaur,3.1183331735543636,-0.9859699492670495,2,Fully Evolved
3,4,52,43,39,60,50,65,309,45,295,1059860,0.6,6,6,8.5,1,Charmander,-1.7721852461361514,0.8348333044438675,1,Baby
4,5,64,58,58,80,65,80,405,45,183,1059860,1.1,6,6,19.0,1,Charmeleon,-0.2955799136666983,0.9415951413646643,2,Fully Evolved
5,6,104,78,78,159,115,100,634,45,183,1059860,1.7,6,7,90.5,1,Charizard,3.1416515217646515,0.9909301841966509,2,Fully Evolved
6,7,48,65,44,50,64,43,314,45,521,1059860,0.5,17,17,9.0,1,Squirtle,-1.6740607081152794,-2.351259402388388,1,Baby
7,8,63,80,59,65,80,58,405,45,536,1059860,1.0,17,17,22.5,1,Wartortle,-0.2905258231387454,-2.3339419597429165,2,Fully Evolved
8,9,103,120,79,135,115,78,630,45,448,1059860,1.6,17,17,85.5,1,Blastoise,3.0659703307189003,-2.229696194681774,2,Fully Evolved
9,10,30,35,45,20,20,45,195,255,574,1000000,0.3,0,0,2.9,1,Caterpie,-4.45913797624429,1.638049898438315,1,Baby
10,11,20,55,50,25,25,30,205,120,100,1000000,0.7,0,0,9.9,1,Metapod,-3.440277474915667,1.636851797352691,1,Baby
11,12,45,50,60,90,80,70,395,45,74,1000000,1.1,0,7,32.0,1,Butterfree,-0.40474837111202805,1.3542255745972995,2,Fully Evolved
12,13,35,30,40,20,20,50,195,255,221,1000000,0.3,0,13,3.2,1,Weedle,-4.38695955044744,0.3298056732322373,1,Baby
13,14,25,50,45,25,25,35,205,120,100,1000000,0.6,0,13,10.0,1,Kakuna,-3.4810706455399347,0.11564958173132046,1,Baby
14,15,150,40,65,15,80,145,495,45,373,1000000,1.0,0,13,29.5,1,Beedrill,0.6813218117069358,1.300226456821948,2,Fully Evolved
15,16,45,40,40,35,35,56,251,255,515,1059860,0.3,12,7,1.8,1,Pidgey,-3.6110701495568605,-0.30404438922229915,1,Baby
16,17,60,55,63,50,50,71,349,120,44,1059860,1.1,12,7,30.0,1,Pidgeotto,-1.2827532151680068,0.04188110213842888,1,Baby
17,18,80,80,83,135,80,121,579,45,44,1059860,1.5,12,7,39.5,1,Pidgeot,2.190659433762143,0.6428361853577064,2,Fully Evolved
18,21,60,30,40,31,31,70,262,255,515,1000000,0.3,12,7,2.0,1,Spearow,-3.550620768191351,-0.08744730768674945,1,Baby
19,22,90,65,65,61,61,100,442,90,32,1000000,1.2,12,7,38.0,1,Fearow,0.03530620483936464,0.33111231027470395,2,Fully Evolved
20,23,60,44,35,40,54,55,288,255,460,1000000,2.0,13,13,6.9,1,Ekans,-2.6491248026579695,-1.3232146154467213,1,Baby
21,24,95,69,60,65,79,80,448,90,99,1000000,3.5,13,13,65.0,1,Arbok,0.8739297344119057,-1.0185466462240407,2,Fully Evolved
22,25,55,40,35,50,50,90,320,190,334,1000000,0.4,3,3,6.0,1,Pikachu,-2.477336101618319,1.660194632886711,1,Baby
23,29,47,52,55,40,40,41,275,235,376,1059860,0.4,13,13,7.0,1,Nidoran♀,-3.064569839654275,-1.338012490274165,1,Baby
24,30,62,67,70,55,55,56,365,120,376,1059860,0.8,13,13,20.0,1,Nidorina,-1.2056845302825443,-1.2370274045436287,1,Baby
25,31,92,87,90,75,85,76,505,45,147,1059860,1.3,13,10,60.0,1,Nidoqueen,1.3045673428623066,-0.6491783722406863,2,Fully Evolved
26,32,57,40,46,40,40,50,273,235,376,1059860,0.5,13,13,9.0,1,Nidoran♂,-3.0851342326039255,-1.1222127745772104,1,Baby
27,33,72,57,61,55,55,65,365,120,376,1059860,0.9,13,13,19.5,1,Nidorino,-1.2066659406293065,-1.0326196511259456,1,Baby
28,34,102,77,81,85,75,85,505,45,147,1059860,1.4,13,10,62.0,1,Nidoking,1.296645811969766,-0.38104964384352685,2,Fully Evolved
29,35,45,48,70,60,65,35,323,150,169,800000,0.6,4,4,7.5,1,Clefairy,-2.1492381408928116,0.6767611742709757,1,Baby
30,36,70,73,95,95,90,60,483,25,169,800000,1.3,4,4,40.0,1,Clefable,0.8191871092474617,0.8298549992247817,2,Fully Evolved
31,39,45,20,115,45,25,20,270,170,26,800000,0.5,12,4,5.5,1,Jigglypuff,-2.8528212633775305,-0.05354700690386771,1,Baby
32,40,70,45,140,85,50,45,435,50,26,800000,1.0,12,4,12.0,1,Wigglytuff,0.03924923922125989,0.16330881822525983,2,Fully Evolved
33,41,45,35,40,30,40,55,245,255,30,1000000,0.8,13,7,7.5,1,Zubat,-3.4622708100780657,-0.20152660493902547,1,Baby
34,42,80,70,75,65,75,90,455,90,30,1000000,1.6,13,7,55.0,1,Golbat,0.41763326426408814,-0.035988484353041805,2,Fully Evolved
35,43,50,55,45,75,65,30,320,255,555,1059860,0.5,9,13,5.4,1,Oddish,-2.547325324405773,-1.0863094685270271,1,Baby
36,44,65,70,60,85,75,40,395,120,555,1059860,0.8,9,13,8.6,1,Gloom,-0.8452068655275656,-1.0105842703954189,1,Baby
37,45,80,85,75,110,90,50,490,45,187,1059860,1.2,9,13,18.6,1,Vileplume,0.9932493092176292,-0.7116915466641498,2,Fully Evolved
38,46,70,55,35,45,55,25,285,190,338,1000000,0.3,0,9,5.4,1,Paras,-2.8271089901381323,0.4658447290552129,1,Baby
39,47,95,80,60,60,80,30,405,75,338,1000000,1.0,0,9,29.5,1,Parasect,-0.409168072536279,0.342508035497662,2,Fully Evolved
40,48,55,50,60,40,55,45,305,190,248,1000000,1.0,0,13,30.0,1,Venonat,-2.2957418171503168,0.07440744072991658,1,Baby
41,49,65,60,70,90,75,90,450,75,375,1000000,1.5,0,13,12.5,1,Venomoth,0.14538985503073965,0.5842740739323229,2,Fully Evolved
42,54,52,48,50,65,50,55,320,190,149,1000000,0.8,17,17,19.6,1,Psyduck,-2.131327964329064,-1.9292846543596884,1,Baby
43,55,82,78,80,95,80,85,500,75,149,1000000,1.7,17,17,76.6,1,Golduck,1.1760106289840557,-1.8380414920819002,2,Fully Evolved
44,56,80,35,40,35,45,70,305,190,362,1000000,0.5,5,5,28.0,1,Mankey,-2.5372586477213286,0.9995057860653228,1,Baby
45,57,105,60,65,60,70,95,455,75,362,1000000,1.0,5,5,32.0,1,Primeape,0.12692432682043378,1.159733346826437,2,Fully Evolved
46,58,70,45,55,70,50,60,350,190,392,1250000,0.7,6,6,19.0,1,Growlithe,-1.6311627616046123,0.8144871442620305,1,Baby
